dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2016-06-26T13:15:00Z","2016-06-26T20:00:00Z","2023-11-14T20:34:34Z","","u2u2br11hufpm4pn9m6tvqkv1o@google.com","","2016-06-21T01:20:39Z","","2016-06-21T01:20:39Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-24T00:00:00Z","2016-06-24T03:00:00Z","2023-11-14T20:34:34Z","","788A670D-3CCF-4511-B62F-05B695C7876C","","2016-06-20T14:30:52Z","","2016-06-21T01:21:19Z","Brooklyn Bridge Park Harbor View Lawn\nBrooklyn Bridge Park, Brooklyn, NY 11201, United States","0","CONFIRMED","BAMcinemaFest Outdoor Screening","OPAQUE"
"2016-06-25T22:00:00Z","2016-06-25T23:00:00Z","2023-11-14T20:34:34Z","","h5s7jgpibi378k3o4h7p9e2nk8@google.com","","2016-02-07T11:21:25Z","","2016-06-21T01:21:32Z","NYC & Company, 810 7th Ave, New York, NY 10019, United States","0","CONFIRMED","Gay Pride Parade","OPAQUE"
"2016-06-24T15:00:00Z","2016-06-24T22:00:00Z","2023-11-14T20:34:34Z","","j858s9b0bbv74r3olbuk6k5p30@google.com","","2016-06-21T01:18:42Z","","2016-06-22T01:31:20Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-07-14T15:35:00Z","2016-07-14T23:10:00Z","2023-11-14T20:34:34Z","","ihb7dtlmhj8ovf38vslkrk7uac@google.com","","2016-06-23T14:13:07Z","","2016-06-23T14:13:16Z","","0","CONFIRMED","Megabus to Pittsburgh","OPAQUE"
"2016-07-16T16:00:00Z","2016-07-17T00:15:00Z","2023-11-14T20:34:34Z","","5u3a7iurhb3vfkv4js4n4jd54c@google.com","","2016-06-23T14:14:09Z","","2016-06-23T14:14:09Z","","0","CONFIRMED","Megabus to New York City","OPAQUE"
"2016-08-29","2016-08-30","2023-11-14T20:34:34Z","","561E41A7-9206-46E7-B7F6-4752332298B9","","2016-07-17T22:02:18Z","","2016-07-17T22:02:18Z","","0","CONFIRMED","Abe's Birthday","OPAQUE"
"2017-03-17","2017-03-18","2023-11-14T20:34:34Z","","2nl2choidt5fd1ddvh8t7k9dss@google.com","","2016-10-20T20:46:12Z","","2016-10-20T20:46:13Z","","0","CONFIRMED","Geo's Birthday","TRANSPARENT"
"2016-08-29","2016-08-30","2023-11-14T20:34:34Z","","561E41A7-9206-46E7-B7F6-4752332298B9","","2016-07-17T22:02:18Z","","2016-10-20T20:46:24Z","","0","CONFIRMED","Abe's Birthday","OPAQUE"
"2017-05-05T11:00:00Z","2017-05-05T18:00:00Z","2023-11-14T20:34:34Z","","mlu3j2clk9juknch738heiqt58@google.com","","2016-10-20T20:50:02Z","","2016-10-20T20:50:02Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's-Stock Worker","OPAQUE"
"2016-04-11","2016-04-12","2023-11-14T20:34:34Z","","9CA91BF5-E222-4C20-BCF2-FC47F4E8CD23","","2016-10-27T23:15:53Z","","2016-10-27T23:15:53Z","","0","CONFIRMED","Henry's Birthday","OPAQUE"
"2016-11-07T12:00:00Z","2016-11-07T18:30:00Z","2023-11-14T20:34:34Z","","2djrep71ie4mp25jmss71tcqmg@google.com","","2016-11-07T01:05:43Z","","2016-11-07T01:05:43Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG ","OPAQUE"
"2016-11-08T12:00:00Z","2016-11-08T18:30:00Z","2023-11-14T20:34:34Z","","ll5dseps2kqgoa16vbrodikeo8@google.com","","2016-11-07T01:07:08Z","","2016-11-07T01:07:11Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","1","CONFIRMED","Macy's MMG ","OPAQUE"
"2016-11-11T12:00:00Z","2016-11-11T18:30:00Z","2023-11-14T20:34:34Z","","p62t4c9cvdeqe3a04o4e9rmptk@google.com","","2016-11-07T01:10:04Z","","2016-11-07T01:10:04Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG ","OPAQUE"
"2016-11-12T12:00:00Z","2016-11-12T18:30:00Z","2023-11-14T20:34:34Z","","bnp0ajchvumbptsgpuj54rdeuo@google.com","","2016-11-07T01:10:51Z","","2016-11-07T01:10:51Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG ","OPAQUE"
"2016-11-14T12:00:00Z","2016-11-14T18:30:00Z","2023-11-14T20:34:34Z","","ilu5tcaol72fh75hr603gv1cec@google.com","","2016-11-07T01:11:25Z","","2016-11-07T01:11:25Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG ","OPAQUE"
"2016-11-15T12:00:00Z","2016-11-15T18:30:00Z","2023-11-14T20:34:34Z","","o13e89o7ht7sekf2cp8qtibd0g@google.com","","2016-11-07T01:11:59Z","","2016-11-07T01:12:01Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-16T12:00:00Z","2016-11-16T18:30:00Z","2023-11-14T20:34:34Z","","qhbumngptq0k34nsaqorn9g41k@google.com","","2016-11-07T01:12:16Z","","2016-11-07T01:12:18Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-18T12:00:00Z","2016-11-18T18:30:00Z","2023-11-14T20:34:34Z","","bt6mtp2g2rk8v54tftknhodktg@google.com","","2016-11-07T01:12:31Z","","2016-11-07T01:12:33Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-21T12:00:00Z","2016-11-21T18:30:00Z","2023-11-14T20:34:34Z","","po67m9hjlcv3ihqejetsom5vjo@google.com","","2016-11-07T01:12:48Z","","2016-11-07T01:12:51Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-22T12:00:00Z","2016-11-22T18:30:00Z","2023-11-14T20:34:34Z","","bkrgnjn97s6crrmht67kfdd7v0@google.com","","2016-11-07T01:13:07Z","","2016-11-07T01:13:12Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-25T12:00:00Z","2016-11-25T18:30:00Z","2023-11-14T20:34:34Z","","gu1gm239sr5nr1dfu65kljuutg@google.com","","2016-11-07T01:13:47Z","","2016-11-07T01:13:49Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-28T12:00:00Z","2016-11-28T18:30:00Z","2023-11-14T20:34:34Z","","5e29uucbd9kin6butvpnf3n6hk@google.com","","2016-11-07T01:14:03Z","","2016-11-07T01:14:26Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-29T12:00:00Z","2016-11-29T18:30:00Z","2023-11-14T20:34:34Z","","vq5t6l0n3u7uc2buuibkr5dkkg@google.com","","2016-11-07T01:14:11Z","","2016-11-07T01:14:28Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-30T12:00:00Z","2016-11-30T18:30:00Z","2023-11-14T20:34:34Z","","a5lvlqlehj2uh8pgmqmcu9u14g@google.com","","2016-11-07T01:14:18Z","","2016-11-07T01:14:30Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-02T12:00:00Z","2016-12-02T18:30:00Z","2023-11-14T20:34:34Z","","b9n24hhrpfont45br18pbng0t4@google.com","","2016-11-07T01:14:24Z","","2016-11-07T01:14:32Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-05T12:00:00Z","2016-12-05T18:30:00Z","2023-11-14T20:34:34Z","","f6kl09e69qqqnu0brf2buuvqrc@google.com","","2016-11-07T01:14:50Z","","2016-11-07T01:15:07Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-06T12:00:00Z","2016-12-06T18:30:00Z","2023-11-14T20:34:34Z","","2bore2p7gr3t7l3an7e6mb2vuk@google.com","","2016-11-07T01:14:54Z","","2016-11-07T01:15:09Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-09T12:00:00Z","2016-12-09T18:30:00Z","2023-11-14T20:34:34Z","","58e9q1va2iq11l8rv8l4h37hlc@google.com","","2016-11-07T01:14:59Z","","2016-11-07T01:15:11Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-10T12:00:00Z","2016-12-10T18:30:00Z","2023-11-14T20:34:34Z","","0hfjlesnb7avirgludfr5fr964@google.com","","2016-11-07T01:15:03Z","","2016-11-07T01:15:13Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-12T12:00:00Z","2016-12-12T18:30:00Z","2023-11-14T20:34:34Z","","irscntrm1godr9eg4g5cj0uac0@google.com","","2016-11-07T01:15:25Z","","2016-11-07T01:15:43Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-13T12:00:00Z","2016-12-13T18:30:00Z","2023-11-14T20:34:34Z","","iop3svinh8j2r1rsd2fvs2k8rc@google.com","","2016-11-07T01:15:28Z","","2016-11-07T01:15:46Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-16T12:00:00Z","2016-12-16T18:30:00Z","2023-11-14T20:34:34Z","","lkv61ru0incigo0h3iqc05vb7o@google.com","","2016-11-07T01:15:36Z","","2016-11-07T01:15:50Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-19T12:00:00Z","2016-12-19T18:30:00Z","2023-11-14T20:34:34Z","","n6s21b84eoevbpem4pd788gamg@google.com","","2016-11-07T01:19:07Z","","2016-11-07T01:19:20Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-20T12:00:00Z","2016-12-20T18:30:00Z","2023-11-14T20:34:34Z","","ppbl73rcj4k23i76ehi80nu120@google.com","","2016-11-07T01:19:10Z","","2016-11-07T01:19:21Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-21T12:00:00Z","2016-12-21T18:30:00Z","2023-11-14T20:34:34Z","","iks7u17etphbmnq692sok8rndc@google.com","","2016-11-07T01:19:12Z","","2016-11-07T01:19:23Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-23T12:00:00Z","2016-12-23T18:30:00Z","2023-11-14T20:34:34Z","","lrmlp4q5llv7v2h17udseppllk@google.com","","2016-11-07T01:19:01Z","","2016-11-07T01:19:25Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-26T12:00:00Z","2016-12-26T18:30:00Z","2023-11-14T20:34:34Z","","mg7fe4fcbq8ihaplqhjkug8g6k@google.com","","2016-11-07T01:20:18Z","","2016-11-07T01:20:42Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-27T12:00:00Z","2016-12-27T18:30:00Z","2023-11-14T20:34:34Z","","1fc93pduuo2v55sf1r4elcqfm4@google.com","","2016-11-07T01:20:26Z","","2016-11-07T01:20:44Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-28T12:00:00Z","2016-12-28T18:30:00Z","2023-11-14T20:34:34Z","","63d1s95jsnh23h04odp3r6o400@google.com","","2016-11-07T01:20:31Z","","2016-11-07T01:20:46Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-30T12:00:00Z","2016-12-30T18:30:00Z","2023-11-14T20:34:34Z","","npee2sfsim0tdcibc2bghk27bc@google.com","","2016-11-07T01:20:37Z","","2016-11-07T01:20:48Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-11-09T15:00:00Z","2016-11-09T16:00:00Z","2023-11-14T20:34:34Z","","87b6a6laagfn28nopg733siqp4@google.com","","2016-11-07T01:36:16Z","800-493-4647","2016-11-07T01:36:16Z","","0","CONFIRMED","Call UHC","OPAQUE"
"2016-11-23T18:00:00Z","2016-11-24T04:30:00Z","2023-11-14T20:34:34Z","","9alnnascjr955co4o407strmak@google.com","","2016-11-07T01:13:25Z","","2016-11-22T20:25:11Z","","1","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-08T12:00:00Z","2016-12-08T18:30:00Z","2023-11-14T20:34:34Z","","961cf04nj4snsf3c09pb200jl8@google.com","","2016-12-07T21:29:08Z","","2016-12-07T21:29:08Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-15T12:00:00Z","2016-12-15T18:30:00Z","2023-11-14T20:34:34Z","","lahgestio0rgr927japu4bs648@google.com","","2016-12-07T21:29:49Z","","2016-12-07T21:29:49Z","","0","CONFIRMED","Macy's MMG","OPAQUE"
"2016-12-22T12:00:00Z","2016-12-22T18:30:00Z","2023-11-14T20:34:34Z","","5spbm46hvj1eq38prg664bq65g@google.com","","2016-12-07T21:31:09Z","","2016-12-07T21:31:09Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG on","OPAQUE"
"2016-12-17T12:00:00Z","2016-12-17T18:30:00Z","2023-11-14T20:34:34Z","","3qrgt0m0h71krf89q6f7ovt41s@google.com","","2016-12-08T21:33:54Z","","2016-12-08T21:33:54Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG on","OPAQUE"
"2016-09-09","2016-09-10","2023-11-14T20:34:34Z","","57CAF178-2472-4F8A-A5E7-4DB074E2DAF7","","2016-12-30T17:27:44Z","","2016-12-30T17:27:44Z","","0","CONFIRMED","Selbit Birthday. ","OPAQUE"
"2016-09-09","2016-09-10","2023-11-14T20:34:34Z","","6AC45230-37AF-466C-A4FC-87EF984840A9","","2016-12-30T17:27:59Z","","2016-12-30T17:28:00Z","","0","CONFIRMED","Selbit Birthday ","OPAQUE"
"2017-05-26T10:00:00Z","2017-05-26T11:00:00Z","2023-11-14T20:34:34Z","","FD4202D6-08B3-4506-9E3A-1CC156EE5F07","","2017-01-20T11:46:09Z","","2017-01-20T11:46:09Z","","0","CONFIRMED","Ramadan Begins","OPAQUE"
"2017-06-25T10:00:00Z","2017-06-25T11:00:00Z","2023-11-14T20:34:34Z","","F7485A95-C58F-4421-BFF2-406D0CA68576","","2017-01-20T11:46:27Z","","2017-01-20T11:46:27Z","","0","CONFIRMED","Ramadan Ends","OPAQUE"
"2017-03-20T16:00:00Z","2017-03-20T17:00:00Z","2023-11-14T20:34:34Z","","05433C94-5FFB-4AA2-9ECB-6473FECCB07A","","2016-12-23T17:29:28Z","","2017-02-23T21:03:27Z","Pittsburgh","0","CONFIRMED","Evalynn's Birthday. ","OPAQUE"
"2016-03-05T04:00:00Z","2016-03-05T05:00:00Z","2023-11-14T20:34:34Z","","0CAFC1DE-8DE0-4133-8A68-206E44DEC802","","2016-02-10T19:01:54Z","","2017-03-17T07:17:07Z","","0","CONFIRMED","Jorj+Bethany ","OPAQUE"
"2017-09-29T21:00:00Z","2017-09-29T22:00:00Z","2023-11-14T20:34:34Z","","15g4legj4lhmhhg0du382n9mtk@google.com","","2017-09-28T15:57:43Z","","2017-09-28T15:57:43Z","","0","CONFIRMED","Dentist Appointment","OPAQUE"
"2017-10-03T19:30:00Z","2017-10-03T20:30:00Z","2023-11-14T20:34:34Z","","2rve428ntrhgqf5co6nukd4uho@google.com","","2017-09-28T16:57:05Z","","2017-09-28T16:58:54Z","","1","CONFIRMED","Go to CCNY and inquire Winter Enrollment","OPAQUE"
"2017-09-27T23:00:00Z","2017-09-28T00:00:00Z","2023-11-14T20:34:34Z","","4j8r69frns38sslrk0uskohc4q@google.com","","2017-09-28T15:58:31Z","","2017-09-28T16:59:07Z","","0","CONFIRMED","Valley of the Wind","OPAQUE"
"2017-09-26T23:00:00Z","2017-09-27T00:00:00Z","2023-11-14T20:34:34Z","","6n3pqd8gnq3slqn7rjohmgn9p8@google.com","","2017-09-12T16:24:58Z","","2017-09-28T16:59:12Z","","0","CONFIRMED","Vexations: A Score by Erik Satie Performed 840 Times, September 26","OPAQUE"
"2017-10-24T19:00:00Z","2017-10-24T20:00:00Z","2023-11-14T20:34:34Z","","4eovb131njbb8nebf080sghbmt@google.com","","2017-10-13T17:32:35Z","Consultation. ","2017-10-13T17:33:25Z","432 E 149th St, Bronx, NY 10455, USA","0","CONFIRMED","Oral Surgeon ","OPAQUE"
"2017-10-15","2017-10-23","2023-11-14T20:34:34Z","","379l7araqlamf65p9pfg6dnkg7@google.com","","2017-10-13T17:34:20Z","","2017-10-13T17:34:40Z","","0","CONFIRMED","M.O.V","TRANSPARENT"
"2017-10-19T18:00:00Z","2017-10-19T19:00:00Z","2023-11-14T20:34:34Z","","3pr6cf7c6j1hq6me7vhk00kncj@google.com","","2017-10-13T17:37:46Z","","2017-10-13T17:37:51Z","","0","CONFIRMED","Doctor's Visit","OPAQUE"
"2017-10-15T13:00:00Z","2017-10-15T14:00:00Z","2023-11-14T20:34:34Z","","5qaoqtofkoiv0v0fk974m3erdm@google.com","","2017-10-13T17:36:18Z","","2017-10-13T17:38:03Z","","0","CONFIRMED","Breakfast with K","OPAQUE"
"2017-10-21T22:00:00Z","2017-10-21T23:00:00Z","2023-11-14T20:34:34Z","","24kg12s7rennp7606qsr17ms9c@google.com","","2017-10-13T17:35:05Z","","2017-10-13T17:38:08Z","","0","CONFIRMED","Living Instalation","OPAQUE"
"2017-10-17T14:00:00Z","2017-10-17T15:00:00Z","2023-11-14T20:34:34Z","","139s4r05li06cphr9b27vmoqbf@google.com","","2017-10-13T17:39:19Z","","2017-10-13T17:39:24Z","","0","CONFIRMED","Virginia's Dental Consultation","OPAQUE"
"2017-10-23T19:00:00Z","2017-10-23T20:00:00Z","2023-11-14T20:34:34Z","","62k775i46btlqfd73qoca8475u@google.com","","2017-10-13T17:44:22Z","","2017-10-13T17:44:34Z","","0","CONFIRMED","Wells Fargo Loan","OPAQUE"
"2017-10-14T01:00:00Z","2017-10-14T03:30:00Z","2023-11-14T20:34:34Z","","65gou9cbiare81ue8a55krvpna@google.com","","2017-10-13T17:49:39Z","","2017-10-13T17:50:22Z","","1","CONFIRMED","Happy Death Day","OPAQUE"
"2017-10-13T19:30:00Z","2017-10-13T20:30:00Z","2023-11-14T20:34:34Z","","5n0pgd0oh7rh0q300rmik64qf6@google.com","","2017-10-13T17:50:45Z","","2017-10-13T17:50:51Z","","0","CONFIRMED","Lunch with Mom","OPAQUE"
"2017-10-29T00:00:00Z","2017-10-29T01:00:00Z","2023-11-14T20:34:34Z","","3lnkt9q2321mk81fvgicjfcmr2@google.com","","2017-10-26T17:24:12Z","","2017-10-26T17:25:00Z","","0","CONFIRMED","Drinks Brooklyn Brewhouse","OPAQUE"
