dtstart,dtend,dtstamp,created,description,last-modified,location,sequence,status,summary
"2016-09-11","2016-09-12","2023-11-14T20:34:34Z","2016-05-24T01:30:18Z","","2016-05-24T01:30:18Z","","0","CONFIRMED","Steven's Birthday"
"2016-05-04","2016-05-05","2023-11-14T20:34:34Z","2016-05-24T01:30:18Z","","2016-05-24T01:30:18Z","","0","CONFIRMED","Dilcia's Birthday"
"2016-01-11","2016-01-12","2023-11-14T20:34:34Z","2016-05-24T01:30:19Z","","2016-05-24T01:30:19Z","","0","CONFIRMED","Rafael's Birthday"
"2016-06-03T14:00:00Z","2016-06-03T20:15:00Z","2023-11-14T20:34:34Z","2016-05-29T22:47:44Z","","2016-05-29T22:49:31Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's"
"2016-06-04T20:00:00Z","2016-06-05T00:15:00Z","2023-11-14T20:34:34Z","2016-05-29T22:48:27Z","","2016-05-29T22:50:06Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's"
"2016-05-30T13:00:00Z","2016-05-30T19:45:00Z","2023-11-14T20:34:34Z","2016-05-29T22:45:14Z","","2016-05-29T22:50:25Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's"
"2016-06-01T19:00:00Z","2016-06-02T01:00:00Z","2023-11-14T20:34:34Z","2016-05-29T22:46:22Z","","2016-05-29T22:51:39Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's"
"2016-06-08T16:45:00Z","2016-06-08T23:00:00Z","2023-11-14T20:34:34Z","2016-06-05T14:41:15Z","","2016-06-05T14:41:15Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-09T18:00:00Z","2016-06-10T01:15:00Z","2023-11-14T20:34:34Z","2016-06-05T14:42:09Z","","2016-06-05T14:42:09Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-11T16:30:00Z","2016-06-11T21:45:00Z","2023-11-14T20:34:34Z","2016-06-05T14:42:56Z","","2016-06-05T14:42:56Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-06T16:30:00Z","2016-06-06T23:00:00Z","2023-11-14T20:34:34Z","2016-06-05T14:39:21Z","","2016-06-05T17:52:22Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","1","CONFIRMED","Cashier-McDonald's"
"2016-06-14T13:00:00Z","2016-06-14T20:00:00Z","2023-11-14T20:34:34Z","2016-06-13T16:12:17Z","","2016-06-13T16:12:17Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-15T16:45:00Z","2016-06-15T23:45:00Z","2023-11-14T20:34:34Z","2016-06-13T16:13:07Z","","2016-06-13T16:13:07Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-16T18:00:00Z","2016-06-17T00:15:00Z","2023-11-14T20:34:34Z","2016-06-13T16:13:45Z","","2016-06-13T16:13:45Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-17T17:00:00Z","2016-06-18T00:00:00Z","2023-11-14T20:34:34Z","2016-06-13T16:14:11Z","","2016-06-17T16:41:30Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-21T17:00:00Z","2016-06-22T00:45:00Z","2023-11-14T20:34:34Z","2016-06-21T01:17:58Z","","2016-06-21T01:17:58Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","0","CONFIRMED","Cashier-McDonald's"
"2016-06-25T20:00:00Z","2016-06-26T01:45:00Z","2023-11-14T20:34:34Z","2016-06-21T01:19:15Z","","2016-06-21T01:19:15Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-26T13:15:00Z","2016-06-26T20:00:00Z","2023-11-14T20:34:34Z","2016-06-21T01:20:39Z","","2016-06-21T01:20:39Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's"
"2016-06-24T00:00:00Z","2016-06-24T03:00:00Z","2023-11-14T20:34:34Z","2016-06-20T14:30:52Z","","2016-06-21T01:21:19Z","Brooklyn Bridge Park Harbor View Lawn\nBrooklyn Bridge Park, Brooklyn, NY 11201, United States","0","CONFIRMED","BAMcinemaFest Outdoor Screening"
"2016-06-25T22:00:00Z","2016-06-25T23:00:00Z","2023-11-14T20:34:34Z","2016-02-07T11:21:25Z","","2016-06-21T01:21:32Z","NYC & Company, 810 7th Ave, New York, NY 10019, United States","0","CONFIRMED","Gay Pride Parade"
"2016-06-24T15:00:00Z","2016-06-24T22:00:00Z","2023-11-14T20:34:34Z","2016-06-21T01:18:42Z","","2016-06-22T01:31:20Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","1","CONFIRMED","Cashier-McDonald's"
"2016-07-14T15:35:00Z","2016-07-14T23:10:00Z","2023-11-14T20:34:34Z","2016-06-23T14:13:07Z","","2016-06-23T14:13:16Z","","0","CONFIRMED","Megabus to Pittsburgh"
"2016-07-16T16:00:00Z","2016-07-17T00:15:00Z","2023-11-14T20:34:34Z","2016-06-23T14:14:09Z","","2016-06-23T14:14:09Z","","0","CONFIRMED","Megabus to New York City"
"2016-08-29","2016-08-30","2023-11-14T20:34:34Z","2016-07-17T22:02:18Z","","2016-07-17T22:02:18Z","","0","CONFIRMED","Abe's Birthday"
"2017-03-17","2017-03-18","2023-11-14T20:34:34Z","2016-10-20T20:46:12Z","","2016-10-20T20:46:13Z","","0","CONFIRMED","Geo's Birthday"
"2016-08-29","2016-08-30","2023-11-14T20:34:34Z","2016-07-17T22:02:18Z","","2016-10-20T20:46:24Z","","0","CONFIRMED","Abe's Birthday"
"2017-05-05T11:00:00Z","2017-05-05T18:00:00Z","2023-11-14T20:34:34Z","2016-10-20T20:50:02Z","","2016-10-20T20:50:02Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's-Stock Worker"
"2016-04-11","2016-04-12","2023-11-14T20:34:34Z","2016-10-27T23:15:53Z","","2016-10-27T23:15:53Z","","0","CONFIRMED","Henry's Birthday"
"2016-11-07T12:00:00Z","2016-11-07T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:05:43Z","","2016-11-07T01:05:43Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG "
"2016-11-08T12:00:00Z","2016-11-08T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:07:08Z","","2016-11-07T01:07:11Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","1","CONFIRMED","Macy's MMG "
"2016-11-11T12:00:00Z","2016-11-11T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:10:04Z","","2016-11-07T01:10:04Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG "
"2016-11-12T12:00:00Z","2016-11-12T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:10:51Z","","2016-11-07T01:10:51Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG "
"2016-11-14T12:00:00Z","2016-11-14T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:11:25Z","","2016-11-07T01:11:25Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG "
"2016-11-15T12:00:00Z","2016-11-15T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:11:59Z","","2016-11-07T01:12:01Z","","0","CONFIRMED","Macy's MMG"
"2016-11-16T12:00:00Z","2016-11-16T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:12:16Z","","2016-11-07T01:12:18Z","","0","CONFIRMED","Macy's MMG"
"2016-11-18T12:00:00Z","2016-11-18T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:12:31Z","","2016-11-07T01:12:33Z","","0","CONFIRMED","Macy's MMG"
"2016-11-21T12:00:00Z","2016-11-21T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:12:48Z","","2016-11-07T01:12:51Z","","0","CONFIRMED","Macy's MMG"
"2016-11-22T12:00:00Z","2016-11-22T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:13:07Z","","2016-11-07T01:13:12Z","","0","CONFIRMED","Macy's MMG"
"2016-11-25T12:00:00Z","2016-11-25T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:13:47Z","","2016-11-07T01:13:49Z","","0","CONFIRMED","Macy's MMG"
"2016-11-28T12:00:00Z","2016-11-28T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:03Z","","2016-11-07T01:14:26Z","","0","CONFIRMED","Macy's MMG"
"2016-11-29T12:00:00Z","2016-11-29T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:11Z","","2016-11-07T01:14:28Z","","0","CONFIRMED","Macy's MMG"
"2016-11-30T12:00:00Z","2016-11-30T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:18Z","","2016-11-07T01:14:30Z","","0","CONFIRMED","Macy's MMG"
"2016-12-02T12:00:00Z","2016-12-02T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:24Z","","2016-11-07T01:14:32Z","","0","CONFIRMED","Macy's MMG"
"2016-12-05T12:00:00Z","2016-12-05T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:50Z","","2016-11-07T01:15:07Z","","0","CONFIRMED","Macy's MMG"
"2016-12-06T12:00:00Z","2016-12-06T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:54Z","","2016-11-07T01:15:09Z","","0","CONFIRMED","Macy's MMG"
"2016-12-09T12:00:00Z","2016-12-09T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:14:59Z","","2016-11-07T01:15:11Z","","0","CONFIRMED","Macy's MMG"
"2016-12-10T12:00:00Z","2016-12-10T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:15:03Z","","2016-11-07T01:15:13Z","","0","CONFIRMED","Macy's MMG"
"2016-12-12T12:00:00Z","2016-12-12T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:15:25Z","","2016-11-07T01:15:43Z","","0","CONFIRMED","Macy's MMG"
"2016-12-13T12:00:00Z","2016-12-13T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:15:28Z","","2016-11-07T01:15:46Z","","0","CONFIRMED","Macy's MMG"
"2016-12-16T12:00:00Z","2016-12-16T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:15:36Z","","2016-11-07T01:15:50Z","","0","CONFIRMED","Macy's MMG"
"2016-12-19T12:00:00Z","2016-12-19T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:19:07Z","","2016-11-07T01:19:20Z","","0","CONFIRMED","Macy's MMG"
"2016-12-20T12:00:00Z","2016-12-20T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:19:10Z","","2016-11-07T01:19:21Z","","0","CONFIRMED","Macy's MMG"
"2016-12-21T12:00:00Z","2016-12-21T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:19:12Z","","2016-11-07T01:19:23Z","","0","CONFIRMED","Macy's MMG"
"2016-12-23T12:00:00Z","2016-12-23T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:19:01Z","","2016-11-07T01:19:25Z","","0","CONFIRMED","Macy's MMG"
"2016-12-26T12:00:00Z","2016-12-26T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:20:18Z","","2016-11-07T01:20:42Z","","0","CONFIRMED","Macy's MMG"
"2016-12-27T12:00:00Z","2016-12-27T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:20:26Z","","2016-11-07T01:20:44Z","","0","CONFIRMED","Macy's MMG"
"2016-12-28T12:00:00Z","2016-12-28T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:20:31Z","","2016-11-07T01:20:46Z","","0","CONFIRMED","Macy's MMG"
"2016-12-30T12:00:00Z","2016-12-30T18:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:20:37Z","","2016-11-07T01:20:48Z","","0","CONFIRMED","Macy's MMG"
"2016-11-09T15:00:00Z","2016-11-09T16:00:00Z","2023-11-14T20:34:34Z","2016-11-07T01:36:16Z","800-493-4647","2016-11-07T01:36:16Z","","0","CONFIRMED","Call UHC"
"2016-11-23T18:00:00Z","2016-11-24T04:30:00Z","2023-11-14T20:34:34Z","2016-11-07T01:13:25Z","","2016-11-22T20:25:11Z","","1","CONFIRMED","Macy's MMG"
"2016-12-08T12:00:00Z","2016-12-08T18:30:00Z","2023-11-14T20:34:34Z","2016-12-07T21:29:08Z","","2016-12-07T21:29:08Z","","0","CONFIRMED","Macy's MMG"
"2016-12-15T12:00:00Z","2016-12-15T18:30:00Z","2023-11-14T20:34:34Z","2016-12-07T21:29:49Z","","2016-12-07T21:29:49Z","","0","CONFIRMED","Macy's MMG"
"2016-12-22T12:00:00Z","2016-12-22T18:30:00Z","2023-11-14T20:34:34Z","2016-12-07T21:31:09Z","","2016-12-07T21:31:09Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG on"
"2016-12-17T12:00:00Z","2016-12-17T18:30:00Z","2023-11-14T20:34:34Z","2016-12-08T21:33:54Z","","2016-12-08T21:33:54Z","Macy's, 422 Fulton St, Brooklyn, NY 11201, USA","0","CONFIRMED","Macy's MMG on"
"2016-09-09","2016-09-10","2023-11-14T20:34:34Z","2016-12-30T17:27:44Z","","2016-12-30T17:27:44Z","","0","CONFIRMED","Selbit Birthday. "
"2016-09-09","2016-09-10","2023-11-14T20:34:34Z","2016-12-30T17:27:59Z","","2016-12-30T17:28:00Z","","0","CONFIRMED","Selbit Birthday "
"2017-05-26T10:00:00Z","2017-05-26T11:00:00Z","2023-11-14T20:34:34Z","2017-01-20T11:46:09Z","","2017-01-20T11:46:09Z","","0","CONFIRMED","Ramadan Begins"
"2017-06-25T10:00:00Z","2017-06-25T11:00:00Z","2023-11-14T20:34:34Z","2017-01-20T11:46:27Z","","2017-01-20T11:46:27Z","","0","CONFIRMED","Ramadan Ends"
"2017-03-20T16:00:00Z","2017-03-20T17:00:00Z","2023-11-14T20:34:34Z","2016-12-23T17:29:28Z","","2017-02-23T21:03:27Z","Pittsburgh","0","CONFIRMED","Evalynn's Birthday. "
"2016-03-05T04:00:00Z","2016-03-05T05:00:00Z","2023-11-14T20:34:34Z","2016-02-10T19:01:54Z","","2017-03-17T07:17:07Z","","0","CONFIRMED","Jorj+Bethany "
"2017-09-29T21:00:00Z","2017-09-29T22:00:00Z","2023-11-14T20:34:34Z","2017-09-28T15:57:43Z","","2017-09-28T15:57:43Z","","0","CONFIRMED","Dentist Appointment"
"2017-10-03T19:30:00Z","2017-10-03T20:30:00Z","2023-11-14T20:34:34Z","2017-09-28T16:57:05Z","","2017-09-28T16:58:54Z","","1","CONFIRMED","Go to CCNY and inquire Winter Enrollment"
"2017-09-27T23:00:00Z","2017-09-28T00:00:00Z","2023-11-14T20:34:34Z","2017-09-28T15:58:31Z","","2017-09-28T16:59:07Z","","0","CONFIRMED","Valley of the Wind"
"2017-09-26T23:00:00Z","2017-09-27T00:00:00Z","2023-11-14T20:34:34Z","2017-09-12T16:24:58Z","","2017-09-28T16:59:12Z","","0","CONFIRMED","Vexations: A Score by Erik Satie Performed 840 Times, September 26"
"2017-10-24T19:00:00Z","2017-10-24T20:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:32:35Z","Consultation. ","2017-10-13T17:33:25Z","432 E 149th St, Bronx, NY 10455, USA","0","CONFIRMED","Oral Surgeon "
"2017-10-15","2017-10-23","2023-11-14T20:34:34Z","2017-10-13T17:34:20Z","","2017-10-13T17:34:40Z","","0","CONFIRMED","M.O.V"
"2017-10-19T18:00:00Z","2017-10-19T19:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:37:46Z","","2017-10-13T17:37:51Z","","0","CONFIRMED","Doctor's Visit"
"2017-10-15T13:00:00Z","2017-10-15T14:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:36:18Z","","2017-10-13T17:38:03Z","","0","CONFIRMED","Breakfast with K"
"2017-10-21T22:00:00Z","2017-10-21T23:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:35:05Z","","2017-10-13T17:38:08Z","","0","CONFIRMED","Living Instalation"
"2017-10-17T14:00:00Z","2017-10-17T15:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:39:19Z","","2017-10-13T17:39:24Z","","0","CONFIRMED","Virginia's Dental Consultation"
"2017-10-23T19:00:00Z","2017-10-23T20:00:00Z","2023-11-14T20:34:34Z","2017-10-13T17:44:22Z","","2017-10-13T17:44:34Z","","0","CONFIRMED","Wells Fargo Loan"
"2017-10-14T01:00:00Z","2017-10-14T03:30:00Z","2023-11-14T20:34:34Z","2017-10-13T17:49:39Z","","2017-10-13T17:50:22Z","","1","CONFIRMED","Happy Death Day"
"2017-10-13T19:30:00Z","2017-10-13T20:30:00Z","2023-11-14T20:34:34Z","2017-10-13T17:50:45Z","","2017-10-13T17:50:51Z","","0","CONFIRMED","Lunch with Mom"
"2017-10-29T00:00:00Z","2017-10-29T01:00:00Z","2023-11-14T20:34:34Z","2017-10-26T17:24:12Z","","2017-10-26T17:25:00Z","","0","CONFIRMED","Drinks Brooklyn Brewhouse"
"2017-10-26T20:00:00Z","2017-10-26T21:00:00Z","2023-11-14T20:34:34Z","2017-10-26T17:25:50Z","","2017-10-26T17:26:00Z","","0","CONFIRMED","Wells Fargo Card"
"2017-10-27T21:00:00Z","2017-10-27T22:00:00Z","2023-11-14T20:34:34Z","2017-10-26T17:27:14Z","","2017-10-26T17:27:20Z","","0","CONFIRMED","Guggenhiem Inquiry"
"2017-11-07T19:00:00Z","2017-11-07T20:00:00Z","2023-11-14T20:34:34Z","2017-10-19T18:15:55Z","","2017-10-26T17:27:41Z","","1","TENTATIVE","Doctor's Visit"
"2017-11-07T14:00:00Z","2017-11-07T15:00:00Z","2023-11-14T20:34:34Z","2017-10-26T17:27:57Z","","2017-10-26T17:28:06Z","","0","CONFIRMED","Oral Surgeon"
"2017-10-30T23:00:00Z","2017-10-31T00:00:00Z","2023-11-14T20:34:34Z","2017-10-27T10:56:13Z","","2017-10-27T10:56:39Z","610 W 56th St, New York, NY 10019, USA","0","CONFIRMED","Bernie Sanders & Bill de Blasio"
"2017-12-04T17:00:00Z","2017-12-04T18:00:00Z","2023-11-14T20:34:34Z","2017-11-07T21:24:34Z","","2017-11-07T21:24:34Z","","1","TENTATIVE","Dental surgery "
"2017-11-21T19:00:00Z","2017-11-21T20:00:00Z","2023-11-14T20:34:34Z","2017-11-07T21:24:35Z","","2017-11-07T21:24:35Z","","1","TENTATIVE","Doctors Appointment "
"2017-11-09T22:00:00Z","2017-11-09T23:00:00Z","2023-11-14T20:34:34Z","2017-11-08T19:03:14Z","","2017-11-08T19:03:23Z","","0","CONFIRMED","Meeting w/ Stephanie"
"2017-11-13T21:00:00Z","2017-11-13T22:00:00Z","2023-11-14T20:34:34Z","2017-11-06T18:13:34Z","","2017-11-08T19:03:25Z","","1","CONFIRMED","Bank of America"
"2017-11-17T15:40:00Z","2017-11-17T16:40:00Z","2023-11-14T20:34:34Z","2017-11-07T21:24:36Z","","2017-11-15T22:00:40Z","","1","TENTATIVE","Surgical Consultation"
"2017-11-16T21:30:00Z","2017-11-16T22:00:00Z","2023-11-14T20:34:34Z","2017-11-15T21:59:59Z","","2017-11-15T22:01:10Z","","1","CONFIRMED","Postal Office"
"2018-01-04T18:20:00Z","2018-01-04T19:20:00Z","2023-11-14T20:34:34Z","2017-11-18T04:35:55Z","","2017-11-18T04:35:55Z","","1","TENTATIVE","Surgical Consultation"
"2018-04-28T12:00:00Z","2018-04-28T13:00:00Z","2023-11-14T20:34:34Z","2017-11-18T04:35:56Z","","2017-11-18T04:35:56Z","","1","TENTATIVE","Evalynn's Graduation "
"2017-12-13T23:00:00Z","2017-12-14T04:00:00Z","2023-11-14T20:34:34Z","2017-12-01T11:45:55Z","","2017-12-01T11:45:56Z","","0","CONFIRMED","NYC Holiday Party!"
"2018-01-04","2018-01-05","2023-11-14T20:34:34Z","2017-11-17T01:48:22Z","","2017-12-06T19:55:27Z","","2","TENTATIVE","Rayna's Birthday "
"2017-12-16","2017-12-17","2023-11-14T20:34:34Z","2017-12-06T19:54:41Z","","2017-12-06T19:56:02Z","","1","CONFIRMED","Sabiel's Birthday "
"2017-12-14","2017-12-15","2023-11-14T20:34:34Z","2017-12-06T19:57:28Z","","2017-12-06T19:57:46Z","","0","CONFIRMED","Oral Surgery"
"2017-12-14T14:00:00Z","2017-12-14T15:00:00Z","2023-11-14T20:34:34Z","2017-11-15T21:59:24Z","","2017-12-06T20:04:09Z","","4","CONFIRMED","Bank of America"
"2018-02-15T13:00:00Z","2018-02-15T14:00:00Z","2023-11-14T20:34:34Z","2018-01-15T01:15:52Z","","2018-01-15T01:15:52Z","","1","TENTATIVE","Black Lather Premier "
"2018-05-08T15:00:00Z","2018-05-08T17:00:00Z","2023-11-14T20:34:34Z","2018-05-07T19:00:21Z","","2018-05-07T19:00:21Z","","1","TENTATIVE","Award Brunch"
"2017-10-11T17:00:00","2017-10-11T19:00:00","2023-11-14T20:34:34Z","2017-09-28T16:57:46Z","","2018-05-07T19:26:44Z","","1","CONFIRMED","Laundry"
"2018-05-20","2018-05-21","2023-11-14T20:34:34Z","2018-05-07T19:57:28Z","","2018-05-07T19:57:28Z","","1","TENTATIVE","AIDS Walk"
"2018-05-11T06:00:00","2018-05-11T14:00:00","2023-11-14T20:34:34Z","2018-05-07T18:59:55Z","","2018-07-06T23:31:13Z","","1","TENTATIVE","Macy's Merchandising"
"2018-05-07T06:00:00","2018-05-07T14:00:00","2023-11-14T20:34:34Z","2018-05-07T18:56:59Z","","2018-07-06T23:31:56Z","","2","TENTATIVE","Macy's Merchandising"
"2018-05-08T06:00:00","2018-05-08T14:00:00","2023-11-14T20:34:34Z","2018-05-07T18:58:17Z","","2018-07-06T23:32:08Z","","1","TENTATIVE","Macy's Merchandising"
"2018-05-10T06:00:00","2018-05-10T14:00:00","2023-11-14T20:34:34Z","2018-05-07T18:59:54Z","","2018-07-06T23:32:16Z","","1","TENTATIVE","Macy's Merchandising"
"2018-05-09T06:00:00","2018-05-09T14:00:00","2023-11-14T20:34:34Z","2018-05-07T18:59:07Z","","2018-07-06T23:33:55Z","","1","TENTATIVE","Macy's Merchandising"
"2018-07-07T12:00:00Z","2018-07-07T13:00:00Z","2023-11-14T20:34:34Z","2018-07-06T23:49:37Z","","2018-07-06T23:49:37Z","","0","CONFIRMED","Mandarin Lessons"
"2018-07-07T05:30:00","2018-07-07T06:30:00","2023-11-14T20:34:34Z","2018-07-06T23:43:17Z","","2018-07-10T10:30:47Z","","0","CONFIRMED","Calisthenics"
"2018-07-20T17:30:00Z","2018-07-20T18:30:00Z","2023-11-14T20:34:34Z","2018-07-20T13:49:01Z","","2018-07-20T13:49:01Z","3702 Astoria Blvd, Astoria, NY 11102, USA","0","CONFIRMED","Interview"
"2018-11-29T20:00:00Z","2018-11-29T21:00:00Z","2023-11-14T20:34:34Z","2018-11-27T17:22:53Z","1. Click and join at the specified time and date:\nhttps://global.gotowebinar.com/join/3672938778647327233/837746387\nNote: This link should be not shared with others it is unique to you.\n\n2. More webinar details:\nhttps://attendee.gotowebinar.com/additionalInfo.tmpl?duplicate=false&webinar=3672938778647327233&aregistrantConfirmation=221352976487113227","2018-11-27T17:22:54Z","GoToWebinar - See conference call information below","0","CONFIRMED","GoToWebinar - Webinar - Watchmen Co-Creator Dave Gibbons' Clip Studio Paint Workflow"
"2019-06-24T13:00:00Z","2019-06-24T14:00:00Z","2023-11-14T20:34:34Z","2019-06-17T12:51:46Z","","2019-06-17T12:51:46Z","Essen Medical Associates, 1181 Grand Concourse, The Bronx, NY 10452, USA","0","CONFIRMED","Dermatologist Appointment"
"2018-07-10T05:30:00","2018-07-10T06:15:00","2023-11-14T20:34:34Z","2018-07-10T10:30:46Z","","2019-06-17T12:52:08Z","","0","CONFIRMED","Calisthenics"
"2018-07-06T06:30:00","2018-07-06T07:30:00","2023-11-14T20:34:34Z","2018-07-06T23:52:27Z","","2019-06-17T12:52:19Z","","1","CONFIRMED","Prompt Work"
